id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
82,Bitcoin Bulgaria,355.16,0.0000209802,0,0.0,6815962,,143,72.93,86,51,346,167365,2025-01-21,2024-02-12 00:00:00,,3,80,166,23,122,73,135
17,Alicante Bitcoin Plebs 🍊💊,0,0.0000000000,0.0000000000,0.0,338577,500.72,0,0.0,0,0,None,153224,2024-01-29,,,0,0,0,0,0,0,0
30,Asturias 2140,0,0.0000000000,0.0000000000,0.07996684773925548,6260,367.25,0,0.0,0,0,None,153229,2024-01-29,,,0,0,0,0,0,0,0
46,Barcelona Bitcoin Only,346.53,0.0000152794,0.1086625810,0.8621564946477073,1636193,230.07,25,17.0,26,68,338,166231,2024-12-18,2024-02-20 00:00:00,,0,12,38,13,13,3,33
64,Bitcoin 2140 A Coruña,351.67,0.0000081733,0.0180440274,0.2879445692320705,244700,110.84,2,1.32,2,66,345,163552,2024-10-05,2024-02-13 00:00:00,,0,1,3,1,1,0,3
68,Bitcoin & Cards,319.73,0,0.1635991820,0.8681598498162646,,220.05,36,28.080000000000002,32,78,307,167115,2025-01-15,2024-03-22 00:00:00,,1,9,41,5,35,9,23
83,Bitcoin Cádiz,121.0,0.0000000000,0.0000000000,0.23341188688288864,94120,111.14,0,0.0,1,100,121,163159,2024-09-25,2024-09-24 00:00:00,,0,0,1,1,0,0,1
86,Bitcoin Club Malta,287.75,0,0.0048553622,0.2617521367521367,,2883.41,14,10.5,12,75,262,166061,2024-12-11,2024-05-06 00:00:00,,1,4,16,2,13,0,15
87,Bitcoin Córdoba,281.0,0.0000062595,0.0012040722,0.16457382695352668,319515,1661.03,2,1.5,3,75,253,165686,2024-12-01,2024-05-15 00:00:00,,0,1,4,2,1,0,2
102,Bitcoin Figueres,389.83,0.0001274210,0.0770910960,0.31583392017114587,47088,77.83,6,0.96,1,16,514,166228,2024-12-18,2023-08-28 00:00:00,,1,5,6,0,6,0,0
125,Bitcoin Murcia 2140,135.0,0.0000021599,0.0007845537,0.19231391960122873,462979,1274.61,1,1.0,5,100,135,164507,2024-10-30,2024-09-10 00:00:00,,0,0,5,4,0,0,5
127,Bitcoin Night,373.89,0.0000252501,0.2142270220,0.573912241881894,2891082,340.76,73,12.41,13,17,417,167013,2025-01-11,2023-12-03 00:00:00,,1,63,76,3,67,3,63
130,Bitcoin - Orihuela Costa,86.0,0.0000000000,0.0000000000,0.22442281881522222,80784,726.4,0,0.0,1,100,86,164485,2024-10-30,2024-10-29 00:00:00,,0,0,1,1,0,0,1
135,Bitcoin Querétaro,397.67,0.0000136703,0.0398695179,0.3151690487633,804663,275.9,11,1.76,2,16,561,167294,2025-01-20,2023-07-12 00:00:00,,0,10,12,1,10,0,11
139,Bitcoin Sevilla,258.6,0.0000029326,0.0069686411,0.31002556218775906,681998,287.0,2,1.6,4,80,232,163884,2024-10-14,2024-06-05 00:00:00,,0,1,5,3,2,0,4
141,Bitcoin Social Club MADRID,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166621,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
145,Bitcoin Tuesday,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166614,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
177,Brussels 2140,392.5,0.0000425222,0.0637297857,0.3866545221350816,188137,125.53,8,4.0,4,50,420,166320,2024-12-21,2023-11-30 00:00:00,,0,4,8,0,5,3,5
188,Cambridge Bitcoin,401.67,0.0000205939,0.0738370662,0.3204522007373926,145674,40.63,3,0.99,1,33,475,165747,2024-12-02,2023-10-06 00:00:00,,0,2,3,0,1,1,3
371,Gipuzkoa 2140,257.0,0.0000053234,0.0047680351,0.3031077366442438,187849,209.73,1,1.0,1,100,257,163516,2024-10-05,2024-05-11 00:00:00,,0,0,1,0,0,0,1
378,Granada 2140,281.0,0.0000131187,0.0145482760,0.33837425458110687,228682,206.21,3,2.4000000000000004,4,80,260,164486,2024-10-30,2024-05-08 00:00:00,,0,1,5,2,3,0,4
460,Mallorca 21 Bitcoin,0,0.0000000000,0.0000000000,0.2518778113414325,405318,462.52,0,0.0,0,0,None,153432,2024-01-29,,,0,0,0,0,0,0,0
468,MeetBMad,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166625,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
551,Reus 2140,184.0,0.0000093685,0.0070387837,0.3101473182507444,106741,142.07,1,1.0,2,100,184,163586,2024-10-06,2024-07-23 00:00:00,,0,0,2,1,0,0,2
556,Round Rock Bitcoiners,0,0.0000000000,0.0000000000,0.27325042224310797,119468,257.1,0,0.0,0,0,None,157699,2024-04-21,,,0,0,0,0,0,0,0
569,Santiago de Chile,388.75,0.0000004887,0.0373785198,0.3103460517886926,6139087,80.26,3,0.75,1,25,460,167225,2025-01-18,2023-10-21 00:00:00,,0,3,4,1,3,1,3
570,São Paulo - Go BTC,172.47,0,0.0413261701,0.8439077342452166,,1500.26,62,58.9,61,95,163,167393,2025-01-23,2024-08-13 00:00:00,,2,3,64,2,57,25,47
571,Satoshi en Venezuela,383.35,0.0000158827,0.0464003998,0.2019404551118376,3274000,1120.68,52,1.56,2,3,842,164576,2024-11-01,2022-10-04 00:00:00,,0,50,52,0,2,0,1
578,Satoshi Spritz Varese,210.0,0,0.0180929980,0.30613406714975383,,55.27,1,1.0,1,100,210,160324,2024-06-28,2024-06-27 00:00:00,,0,0,1,0,0,0,0
624,Trigo Conecta,365.0,0,0.0055596184,0.05671617980099951,,2338.29,13,0.0,0,0,554,162830,2024-09-16,2023-07-19 00:00:00,,0,13,13,0,13,0,13
638,Valencia Bitcoin Plebs,196.82,0.0000063092,0.0129229020,0.3132250139665266,792492,386.91,5,4.5,10,90,180,164497,2024-10-30,2024-07-27 00:00:00,,0,1,11,6,3,2,10
16,Bitcoin Tribe Algarve,281.92,0.0000812843,0.0072400259,0.3432258064516129,467495,5248.6,38,28.88,30,76,257,166661,2025-01-02,2024-05-11 00:00:00,,0,9,39,1,31,8,28
28,Arnhem Bitcoin City,207.5,0.0004400426,0.7004735596,0.9942064550546812,161348,101.36,71,68.87,70,97,203,167410,2025-01-23,2024-07-04 00:00:00,,0,2,72,1,70,1,9
32,Atlanta BitDevs,373.5,0.0000003255,0.0034518467,0.2693219758033092,6144050,579.4,2,0.24,1,12,433,165980,2024-12-09,2023-11-17 00:00:00,,0,7,8,6,2,0,8
41,Bitcoin Association of Hong Kong,353.12,0.0000008229,0.0021672621,0.17956988418232583,7291600,2768.47,6,3.7199999999999998,5,62,346,166784,2025-01-05,2024-02-12 00:00:00,,1,3,8,2,4,1,7
42,Bitcoin Baden,416.5,0.0001551189,0.2281368821,0.3068714289294102,19340,13.15,3,0.75,1,25,571,165688,2024-12-01,2023-07-02 00:00:00,,0,3,4,1,2,0,2
47,Bay Area Bitcoiners,406.43,0.0000012978,0.0100554727,0.2829699835020274,4623264,596.69,6,1.6800000000000002,2,28,510,164886,2024-11-09,2023-09-01 00:00:00,,0,5,7,1,1,0,4
51,Belgian Bitcoin Embassy,426.29,0.0000060428,0.0021814478,0.22056047625961955,11584008,32088.78,70,21.7,22,31,560,167373,2025-01-22,2023-07-13 00:00:00,,0,48,70,0,54,6,51
53,Berkshire Bitcoiners,406.5,0.0000021944,0.0015872890,0.29838416538994544,911403,1260.01,2,1.0,1,50,448,163524,2024-10-05,2023-11-02 00:00:00,,0,1,2,0,2,2,2
62,BitDevs Amsterdam,325.59,0.0000153201,0.0988450734,0.5938067467763765,2480394,384.44,38,29.26,34,77,314,167118,2025-01-15,2024-03-15 00:00:00,,1,10,44,6,37,9,25
63,Bit Miami,427.4,0.0000203509,0.0625869263,0.33524628294543035,442241,143.8,9,3.6,4,40,521,166335,2024-12-21,2023-08-21 00:00:00,,0,6,10,1,8,5,5
65,Bitcoin Almería,115.0,0.0000000000,0.0000000000,0.29717331104516903,196851,302.35,0,0.0,2,100,115,164476,2024-10-30,2024-09-30 00:00:00,,0,0,2,2,0,0,2
67,Bitcoin & Beer,398.6,0.0000030366,0.0217796385,0.31443202607350085,2963821,413.23,9,1.8,2,20,533,166523,2024-12-28,2023-08-09 00:00:00,,0,8,10,1,4,0,5
70,Bitcoin Aruba,409.0,0.0000171562,0.0006814287,0.2827244862123638,116576,2935.01,2,1.0,1,50,453,158215,2024-05-04,2023-10-28 00:00:00,,0,1,2,0,1,0,1
71,Bitcoin Association Switzerland,393.29,0.0000610173,0.0127725683,0.7,8636896,41260.3,527,173.91,193,33,449,167239,2025-01-18,2023-11-01 00:00:00,,4,380,573,46,462,79,224
73,Bitcoin Austria,389.55,0.0000141781,0.0015256239,0.2627565982404692,9027999,83900.1,128,65.28,89,51,413,167411,2025-01-23,2023-12-07 00:00:00,,0,85,174,46,122,22,146
79,Bitcoin Bristol,375.0,0.0000126984,0.0357952512,0.31147585565392827,472500,167.62,6,3.0,3,50,385,167127,2025-01-15,2024-01-04 00:00:00,,0,3,6,0,5,3,4
80,Bitcoin Brunch Miami,427.4,0.0000203509,0.0625869263,0.3139760706404423,442241,143.8,9,3.6,4,40,521,166328,2024-12-21,2023-08-21 00:00:00,,0,6,10,1,8,5,5
84,Bitcoin Charlotte,350.6,0.0000034302,0.0040445984,0.30217789460060307,874579,741.73,3,1.2000000000000002,2,40,329,165600,2024-11-28,2024-02-29 00:00:00,,0,3,5,2,3,1,2
89,Bitcoin Cowries,401.0,0.0000002803,0.0000356008,0.007969639468690701,32103042,252803.36,9,1.98,2,22,527,165791,2024-12-03,2023-08-15 00:00:00,,0,7,9,0,6,1,6
90,Bitcoin Cypherpunks Uncensored Afterhours,330.42,0.0000008062,0.0207926145,0.30796603031246894,6202225,240.47,5,2.05,5,41,282,166833,2025-01-06,2024-04-16 00:00:00,,0,7,12,7,2,0,8
92,Bitcoin Dada Nairobi,178.7,0.0000057689,0.0539393721,0.5160337737679116,10400676,1112.36,60,54.0,54,90,158,167092,2025-01-14,2024-08-18 00:00:00,,24,6,60,0,55,36,52
94,Bitcoin Dresden,391.95,0.0000141442,0.0578105033,0.3317300435507004,1343305,328.66,19,7.9799999999999995,8,42,429,167351,2025-01-21,2023-11-21 00:00:00,,0,11,19,0,10,2,13
95,Bitcoin du Liban,383.56,0.0000033983,0.0012144889,0.2903816018729879,5296814,14821.05,18,1.98,2,11,532,165389,2024-11-23,2023-08-10 00:00:00,,0,16,18,0,10,2,7
98,Bitcoin Edinburgh,408.09,0.0000122025,0.0402120271,0.30764501957439816,901455,273.55,11,1.98,2,18,602,163951,2024-10-16,2023-06-01 00:00:00,,0,9,11,0,5,3,8
100,Bitcoin Embassy London,314.19,0.0000046991,0.0419132458,0.4814852328193594,14257962,1598.54,67,45.56,46,68,291,167320,2025-01-20,2024-04-07 00:00:00,,4,21,67,0,60,23,40
101,Bitcoin Embassy Tel Aviv,418.14,0.0000012974,0.0272776869,0.3082351270782612,3854000,183.3,5,2.1,3,42,489,166862,2025-01-07,2023-09-22 00:00:00,,0,4,7,2,0,0,3
105,Bitcoin in Venice,377.43,0.0000541199,0.0334808083,0.3231711984648937,258685,418.15,14,5.88,6,42,394,165446,2024-11-24,2023-12-26 00:00:00,,0,8,14,0,6,2,4
112,Bitcoin Jungle,35.0,0.0106000000,0.2617477838,0.7261768914057126,10000,404.97,106,106.0,106,100,35,166974,2025-01-10,2024-12-19 00:00:00,,0,0,106,0,105,29,105
114,Bitcoin Lake Guatemala,412.96,0.0104000000,0.3655536028,0.41268636373600465,10000,284.5,104,28.080000000000002,29,27,537,166819,2025-01-05,2023-08-05 00:00:00,,0,75,104,0,96,1,41
115,Bitcoin Lausanne,424.2,0.0000287540,0.0978473581,0.3063916006885244,139111,40.88,4,1.6,2,40,513,158722,2024-05-16,2023-08-29 00:00:00,,0,3,5,1,4,4,4
122,Bitcoin Montreal,368.06,0.0000027961,0.0192218360,0.3176134805725534,4291732,624.29,12,4.5600000000000005,13,38,373,166791,2025-01-05,2024-01-16 00:00:00,,0,21,34,22,6,0,28
123,Bitcoin Mountain,0,0.0000000000,0.0000000000,0.26641506663519027,1553320,28301.28,0,0.0,0,0,None,153521,2024-01-29,,,0,0,0,0,0,0,0
124,Bitcoin Munich,385.15,0.0000045067,0.0873956108,0.3311496845725909,5991144,308.94,27,7.829999999999999,8,29,433,167363,2025-01-21,2023-11-17 00:00:00,,0,19,27,0,27,8,13
126,Bitcoin Naples,0,0.0000000000,0.0000000000,0.2999532917600462,322000,39.36,0,0.0,0,0,None,153523,2024-01-29,,,0,0,0,0,0,0,0
129,Bitcoin Nottingham,383.0,0.0000039030,0.0404858300,0.30389688577650553,768638,74.1,3,0.99,1,33,419,166948,2025-01-09,2023-12-01 00:00:00,,0,2,3,0,3,2,3
133,Bitcoin Poland Silesia,306.65,0.0000023676,0.0008925311,0.3238945251324554,4646000,12324.5,11,9.57,27,87,298,166557,2024-12-29,2024-03-31 00:00:00,,2,4,31,20,7,3,31
134,Bitcoin Puerto Rico,410.38,0.0000024347,0.0003717875,0.28637933823426615,3285874,21517.67,8,2.96,3,37,486,166366,2024-12-22,2023-09-25 00:00:00,,0,5,8,0,7,2,8
136,Bitcoin Rock,365.0,0.0000882275,0.0325520833,0.29989063436498625,34003,92.16,3,0.0,0,0,824,163986,2024-10-17,2022-10-22 00:00:00,,0,3,3,0,3,3,3
137,Bitcoin Saigon,354.5,0.0000002349,0.0020771624,0.3112312220020297,21281639,2407.13,5,3.5,7,70,350,165010,2024-11-12,2024-02-08 00:00:00,,0,3,10,5,5,0,9
140,Bitcoin Sheffield,365.0,0.0000089847,0.0135961931,0.2995635936167937,556500,367.75,5,0.0,0,0,740,159504,2024-06-04,2023-01-14 00:00:00,,0,5,5,0,4,0,5
142,Bitcoin Surrey,382.33,0.0000075236,0.0053911908,0.32192786483146774,1196236,1669.39,9,5.94,6,66,391,166584,2024-12-30,2023-12-29 00:00:00,,0,3,9,0,9,3,7
143,Bitcoin Sydney,334.33,0.0000028674,0.0034684727,0.3347161413454636,5231147,4324.67,15,9.9,14,66,319,167042,2025-01-12,2024-03-10 00:00:00,,1,7,21,6,9,1,12
144,Bitcoin Toronto,322.73,0.0000008062,0.0416527824,0.3089139578488342,6202225,120.04,5,2.25,5,45,272,166832,2025-01-06,2024-04-26 00:00:00,,0,6,11,6,2,0,7
148,Bitcoin Ville de Québec,346.0,0.0000002285,0.0028379260,0.3031887603517148,8751352,704.74,2,1.0,1,50,327,166085,2024-12-12,2024-03-02 00:00:00,,0,1,2,0,1,0,0
149,Bitcoin Wirral,365.0,0.0000031231,0.0031020256,0.2996174457491388,320199,322.37,1,0.0,0,0,734,156142,2024-03-18,2023-01-20 00:00:00,,0,1,1,0,1,0,1
154,Bitcoin4India - Mumbai,414.67,0.0000002404,0.0064530006,0.3034331261176149,12478447,464.9,3,0.99,1,33,514,162497,2024-09-04,2023-08-28 00:00:00,,0,2,3,0,1,0,2
156,Bitcoiner Malaysia,404.33,0.0000005314,0.0000388812,0.015939278937381403,33871431,462948.08,18,3.96,4,22,542,167232,2025-01-18,2023-07-31 00:00:00,,0,14,18,0,14,4,14
158,Bitcoinessex,408.0,0.0000013430,0.0005097619,0.30148262550624694,1489189,3923.4,2,1.0,1,50,451,163869,2024-10-14,2023-10-30 00:00:00,,0,1,2,0,1,1,2
160,Bitkiwi,380.6,0.0000114969,0.0003022998,0.2933068901192463,434900,16539.87,5,1.0,1,20,443,166184,2024-12-17,2023-11-07 00:00:00,,0,4,5,0,5,2,4
161,BitPlebs Los Angeles,404.58,0.0000026366,0.0021031243,0.34640775591413236,9861224,12362.56,26,13.52,19,52,440,166415,2024-12-24,2023-11-10 00:00:00,,0,17,36,10,15,2,24
170,Boulder Bitcoin,365.0,0.0000060467,0.0103584007,0.29987488013774677,330758,193.08,2,0.0,0,0,599,164917,2024-11-10,2023-06-04 00:00:00,,0,3,3,1,1,0,2
176,Brighton & Hove,352.14,0.0000091027,0.0817184217,0.32389365964598554,769000,85.66,7,5.95,6,85,350,166084,2024-12-12,2024-02-08 00:00:00,,0,1,7,0,6,2,2
181,BTC Gloucestershire,409.75,0.0000087317,0.0024133676,0.30590203606191024,916202,3314.87,8,2.0,2,25,544,163452,2024-10-03,2023-07-29 00:00:00,,0,6,8,0,7,5,7
182,BTC Norte,280.15,0.0000086740,0.0014995314,0.3827729259735243,3689173,21340.0,32,24.0,25,75,253,166443,2024-12-25,2024-05-15 00:00:00,,0,8,33,1,28,1,23
209,Colorado Bitcoin,399.43,0.0000067548,0.0001432000,0.1596188188626685,5773714,272346.28,39,8.97,11,23,509,167047,2025-01-12,2023-09-02 00:00:00,,0,35,46,7,15,2,27
221,De Bitcoin Meetup,325.59,0.0000153201,0.0988450734,0.41752443590864285,2480394,384.44,38,29.26,34,77,314,167124,2025-01-15,2024-03-15 00:00:00,,1,10,44,6,37,9,25
224,Detroit Bitcoin,381.4,0.0000005714,0.0013138274,0.3012471310069605,7000000,3044.54,4,0.8,1,20,447,165757,2024-12-02,2023-11-03 00:00:00,,0,4,5,1,1,0,3
226,Dezentralschweiz,393.29,0.0000610173,0.0127725683,0.973262466063149,8636896,41260.3,527,173.91,193,33,449,167221,2025-01-18,2023-11-01 00:00:00,,4,380,573,46,462,79,224
234,Dubai Citadel,425.5,0.0000022754,0.0013526400,0.3042175123891908,3515813,5914.36,8,2.0,2,25,607,163792,2024-10-12,2023-05-27 00:00:00,,0,6,8,0,5,1,6
235,Dublin Bitcoiners,393.5,0.0000110292,0.0172704115,0.30712778282271747,1450701,926.44,16,1.92,2,12,593,166788,2025-01-05,2023-06-10 00:00:00,,0,14,16,0,15,1,16
236,Durango Bitcoiners,365.0,0.0000539200,0.0348189415,0.2999441665251101,55638,86.16,3,0.0,0,0,751,153554,2024-01-29,2023-01-03 00:00:00,,0,3,3,0,0,0,1
240,Dwadzieścia Jeden Warszawa,290.62,0.0000119322,0.0508996863,0.42909595811956724,3100844,726.92,37,32.19,56,87,280,167308,2025-01-20,2024-04-18 00:00:00,,0,8,64,27,10,0,57
241,Dwadzieścia Jeden Wrocław,312.5,0.0000023077,0.0064415004,0.30972062265033123,1300000,465.73,3,2.4899999999999998,10,83,302,166838,2025-01-06,2024-03-27 00:00:00,,0,2,12,9,0,0,11
248,Eenanzwanzeg Lëtzebuerg,446.0,0.0000092966,0.0023101891,0.30628660624388504,645397,2597.19,6,1.98,2,33,608,164899,2024-11-09,2023-05-26 00:00:00,,0,4,6,0,5,1,6
381,Greek Bitcoin Network,347.95,0.0000022047,0.0001006983,0.21494088407556508,10432481,228405.03,23,15.64,30,68,340,167187,2025-01-17,2024-02-18 00:00:00,,1,14,44,21,17,5,30
388,Harlem Bitcoin,176.0,0.0000050748,0.2695417790,0.30402266628144575,197052,3.71,1,1.0,1,100,176,161429,2024-08-02,2024-07-31 00:00:00,,0,0,1,0,1,0,1
389,Hayek-Club Magdeburg,365.0,0.0000042339,0.0029656870,0.2997814938556393,236188,337.19,1,0.0,0,0,532,161649,2024-08-09,2023-08-10 00:00:00,,0,1,1,0,1,1,1
402,Isle of Man,411.83,0.0004876946,0.0093577609,0.316964114565206,84069,4381.39,41,4.92,5,12,749,166211,2024-12-18,2023-01-05 00:00:00,,0,36,41,0,37,34,40
422,Knoxville Bitcoin,365.0,0.0000020878,0.0007346891,0.2991179658850729,478971,1361.12,1,0.0,0,0,728,153563,2024-01-29,2023-01-26 00:00:00,,0,1,1,0,1,0,0
432,Lake District BTC,370.0,0.0000039999,0.0002784104,0.29936992206874696,500012,7183.64,2,1.0,1,50,375,163529,2024-10-05,2024-01-14 00:00:00,,0,1,2,0,2,0,2
436,Leeds Bitcoin Network,400.1,0.0000193687,0.0181573882,0.3036681794456865,516298,550.74,10,1.0,1,10,716,164197,2024-10-22,2023-02-07 00:00:00,,0,9,10,0,5,1,9
442,Lincolnland Bitcoin,372.5,0.0000000000,0.0000000000,0.29851858549667165,194672,2286.06,0,0.0,9,75,375,158419,2024-05-09,2024-01-14 00:00:00,,0,3,12,12,0,0,12
443,Lisbon Bitcoin Maximalists,362.64,0.0000076625,0.2531645570,0.35218910128444453,2871133,86.9,22,12.979999999999999,13,59,361,166310,2024-12-20,2024-01-28 00:00:00,,0,9,22,0,19,8,15
445,London Bitcoin Space,313.91,0.0000077534,0.0430872986,0.4878185644248839,8899375,1601.4,69,46.92,47,68,290,167298,2025-01-20,2024-04-08 00:00:00,,4,22,69,0,62,25,42
461,Bitcoin Maranhão,197.92,0.0000018374,0.0000364505,0.11702458001867849,7075181,356647.89,13,11.96,12,92,184,166870,2025-01-07,2024-07-23 00:00:00,,0,1,13,0,11,7,12
463,Mass Adoption,407.81,0.0000021475,0.0005514596,0.30109006097695373,6984723,27200.54,15,4.65,5,31,502,166583,2024-12-30,2023-09-09 00:00:00,,0,11,16,1,5,3,6
469,Melbourne Bitcoin Only,400.69,0.0000054903,0.0030408761,0.32793604964395695,4917750,8879.02,27,8.37,9,31,480,166532,2024-12-28,2023-10-01 00:00:00,,1,20,29,2,17,6,16
475,Mid Michigan Bitcoin,0,0.0000000000,0.0000000000,0.295335727496699,10077331,7197.72,0,0.0,0,0,None,153574,2024-01-29,,,0,0,0,0,0,0,0
496,Málaga 2140,328.9,0.0000385271,0.0028096309,0.35071333708146724,571026,7830.21,22,13.86,19,63,308,167210,2025-01-17,2024-03-21 00:00:00,,0,11,30,8,13,1,22
502,Nevada County Bitcoin,268.0,0.0000097808,0.0003950648,0.3023847806680094,102241,2531.23,1,1.0,1,100,268,158331,2024-05-07,2024-04-30 00:00:00,,0,0,1,0,1,0,1
503,Newcastle Bitcoin Meetup,0,0.0000000000,0.0000000000,0.29992507583139777,300125,115.62,0,0.0,0,0,None,162813,2024-09-15,,,0,0,0,0,0,0,0
509,The Northamptonshire Bitcoin Network,222.27,0.0000147133,0.0046551980,0.3383169565183484,747622,2362.95,11,9.9,10,90,208,166427,2024-12-24,2024-06-29 00:00:00,,0,1,11,0,10,7,8
